"Excel Analysed Data Export"
"Copyright (c) 2008 Corbett Life Science, a QIAGEN Company. All rights reserved."
"File","Run 2024-04-15 braf group 2 pcr.rex"
"Date","4/15/2024"
"Time","1:05:05 PM"

"Quantitative analysis of Cycling A.g2 (Page 1)"

"Analysis","No.","Name","Type","Ct","Given Conc (%)","Calc Conc (%)","% Var","Rep. Ct","Rep. Ct Std. Dev.","Rep. Ct (95% CI)","Rep. Calc. Conc.","Rep. Calc. Conc. (95% CI)"
"Cycling A.g2 (Page 1)","1","BRAF WT","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","2","BRAF WT","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","3","BRAF WT","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","4","BRAF WT","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","5","BRAF WT","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","6","BRAF WT","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","7","BRAF WT","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","8","BRAF WT","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","9","BRAF MUT","Unknown","26.57","","","","26.47","0.15","[26.34 , 26.59]","",""
"Cycling A.g2 (Page 1)","10","BRAF MUT","Unknown","26.38","","","","","","","",""
"Cycling A.g2 (Page 1)","11","BRAF MUT","Unknown","26.27","","","","","","","",""
"Cycling A.g2 (Page 1)","12","BRAF MUT","Unknown","26.76","","","","","","","",""
"Cycling A.g2 (Page 1)","13","BRAF MUT","Unknown","26.47","","","","","","","",""
"Cycling A.g2 (Page 1)","14","BRAF MUT","Unknown","26.49","","","","","","","",""
"Cycling A.g2 (Page 1)","15","BRAF MUT","Unknown","26.43","","","","","","","",""
"Cycling A.g2 (Page 1)","16","BRAF MUT","Unknown","26.38","","","","","","","",""
"Cycling A.g2 (Page 1)","17","BRAF NTC","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","18","BRAF NTC","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","19","BRAF NTC","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","20","BRAF NTC","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","21","BRAF NTC","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","22","BRAF NTC","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","23","BRAF NTC","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","24","BRAF NTC","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","25","PCR NTC","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","26","PCR NTC","Unknown","","","","","","","","",""



