"Excel Analysed Data Export"
"Copyright (c) 2013 QIAGEN GmbH. All Rights Reserved."
"File","Run 2024-04-15 braf group 3.rex"
"Date","4/15/2024"
"Time","3:30:18 PM"

"Operator","djn"
"Run Id",""
"Notes",""
"Machine Serial No","0512168"

"Channel","Gain"
"Green","5"
"Yellow","5"
"Orange","5"
"Red","5"
"Crimson","7"
"HRM","7"
"Green 2","7"
"Green 3","9"

"Channel","Threshold"
"Cycling A.Green 2 (Page 1)","0.26"

"Quantitative analysis of Cycling A.Green 2 (Page 1)"

"No.","Color","Name","Type","Ct","Ct Comment","Given Conc (Copies)","Calc Conc (Copies)","% Var","Rep. Ct","Rep. Ct Std. Dev.","Rep. Ct (95% CI)","Rep. Calc. Conc.","Rep. Calc. Conc. (95% CI)"
"1","16711680","BRAF WT","Unknown","","","","","","","","","",""
"2","16711680","BRAF WT","Unknown","","","","","","","","","",""
"3","16711680","BRAF WT","Unknown","","","","","","","","","",""
"4","16711680","BRAF WT","Unknown","","","","","","","","","",""
"5","16711680","BRAF WT","Unknown","","","","","","","","","",""
"6","16711680","BRAF WT","Unknown","","","","","","","","","",""
"7","16711680","BRAF WT","Unknown","","","","","","","","","",""
"8","16711680","BRAF WT","Unknown","","","","","","","","","",""
"9","16046161","BRAF MUT","Unknown","28.21","","","","","28.07","0.12","[27.97 , 28.18]","",""
"10","16046161","BRAF MUT","Unknown","27.96","","","","","","","","",""
"11","16046161","BRAF MUT","Unknown","27.95","","","","","","","","",""
"12","16046161","BRAF MUT","Unknown","27.99","","","","","","","","",""
"13","16046161","BRAF MUT","Unknown","28.11","","","","","","","","",""
"14","16046161","BRAF MUT","Unknown","28.00","","","","","","","","",""
"15","16046161","BRAF MUT","Unknown","28.28","","","","","","","","",""
"16","16046161","BRAF MUT","Unknown","28.10","","","","","","","","",""
"17","16711808","BRAF NTC","Unknown","","","","","","","","","",""
"18","16711808","BRAF NTC","Unknown","","","","","","","","","",""
"19","16711808","BRAF NTC","Unknown","","","","","","","","","",""
"20","16711808","BRAF NTC","Unknown","","","","","","","","","",""
"21","16711808","BRAF NTC","Unknown","","","","","","","","","",""
"22","16711808","BRAF NTC","Unknown","","","","","","","","","",""
"23","16711808","BRAF NTC","Unknown","","","","","","","","","",""
"24","16711808","BRAF NTC","Unknown","","","","","","","","","",""
"25","8355711","PCR NTC","Unknown","","","","","","","","","",""
"26","8355711","PCR NTC","Unknown","","","","","","","","","",""



