"Excel Raw Data Export"
"Copyright (c) 2013 QIAGEN GmbH. All Rights Reserved."
"File","Run 2024-04-15 braf group 3.rex"
"Date","4/15/2024"
"Time","3:30:18 PM"

"Operator","djn"
"Run Id",""
"Notes",""
"Machine Serial No","0512168"

"Channel","Gain"
"Green","5"
"Yellow","5"
"Orange","5"
"Red","5"
"Crimson","7"
"HRM","7"
"Green 2","7"
"Green 3","9"

"Channel","Threshold"


"Channel Cycling A.Green"

"ID","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26"
"Page 1"," BRAF WT"," BRAF WT"," BRAF WT"," BRAF WT"," BRAF WT"," BRAF WT"," BRAF WT"," BRAF WT"," BRAF MUT"," BRAF MUT"," BRAF MUT"," BRAF MUT"," BRAF MUT"," BRAF MUT"," BRAF MUT"," BRAF MUT"," BRAF NTC"," BRAF NTC"," BRAF NTC"," BRAF NTC"," BRAF NTC"," BRAF NTC"," BRAF NTC"," BRAF NTC"," PCR NTC"," PCR NTC"
"1","2.25223163195239","1.96576892754508","1.94317774999853","2.19253070878157","1.97533907307311","1.9895221382976","2.26927087307037","2.02980204353516","2.27664606698711","2.12252994583047","2.26792662590328","2.23259835711198","2.2514099923118","2.09388993550129","2.24307621881437","2.24683228574279","2.26462958724346","2.17969258939733","2.24296722580083","2.3213041377381","2.24104168256148","2.29482973474734","2.25419350619625","2.18781676094562","2.35991672933765","2.32863573444942"
"2","2.23381907886371","1.99144107589976","1.98144268183179","2.22116862309126","1.97795071335927","2.04178428829379","2.23261288951378","2.03567089811082","2.29789970462893","2.13419219828009","2.25172299788917","2.23473462017751","2.25575294469778","2.05359507043834","2.22749021787703","2.26108186465248","2.25833524071107","2.21357544314743","2.21321213310227","2.31408935917977","2.25716146979594","2.35589125403728","2.22374812441189","2.17481752752982","2.31596739264398","2.30034841433331"
"3","2.27547920060677","1.99557488364996","1.99483100633249","2.23457476375764","2.02463745150859","2.05620406398617","2.26609191017522","2.07093537804227","2.28440273645126","2.1362630655375","2.28538532498249","2.27512016479744","2.29424480557463","2.07075826439525","2.26792662590328","2.27871693424451","2.28834465044124","2.21081428680422","2.25670761170876","2.29542640162919","2.27887623172585","2.35798839140565","2.23900714630859","2.17793926909285","2.38893451635632","2.31605024706152"
"4","2.28122377355611","2.01958241143409","2.0265154849728","2.28028475682401","2.03109319154181","2.04819671059085","2.27522915781098","2.08005900155133","2.31831493447424","2.19154767564015","2.26455622656126","2.27723295244467","2.30436662343277","2.0814479638009","2.23908539770293","2.28972522861285","2.27629393571257","2.2415503166247","2.28568410303361","2.3021504321573","2.26247697522589","2.33434424353399","2.24383916990921","2.21506501433258","2.34798199435416","2.31418326085298"
"5","2.27934574009191","2.0224561938913","2.03348265376189","2.27183360623507","2.0705221128659","2.05495427743082","2.31385460499674","2.10936903944457","2.32623788815137","2.20765348941133","2.32136673885358","2.27227181404339","2.29343099107347","2.07817705551741","2.29777394345945","2.30422968349267","2.29484790024959","2.258640421149","2.30309503827471","2.29375797011412","2.30106050202182","2.37712085732228","2.27569237811856","2.21757185364418","2.36796544418426","2.31730046104045"
"6","2.28841731245027","2.0712426777888","2.03315567472125","2.31568373133949","2.08841513259","2.07654942651509","2.33744740039087","2.13299327513106","2.36029325065718","2.2383189943407","2.34247784717","2.30449378194858","2.33310444800488","2.08485189945478","2.27155972635487","2.30542022256373","2.29915312428473","2.24653493044429","2.27272231849938","2.27922836300039","2.26029711495493","2.35434970156874","2.27155972635487","2.21659091652225","2.37288689794984","2.31784542610819"
"7","2.343198877875","2.07413704781523","2.02525368123903","2.30672813872631","2.0786057613707","2.07784281027586","2.31965743495842","2.14345660443166","2.34287022201877","2.28122377355611","2.32598357111976","2.31359469857982","2.33255948293714","2.1134762595051","2.25375753414206","2.31291558826464","2.31479362172885","2.28462770920999","2.2990650914661","2.30705511776695","2.28000305180438","2.37989878182142","2.26738892703644","2.22367546240286","2.37949187457084","2.30669460241445"
"8","2.35823097072811","2.10727092393378","2.05321038921405","2.32078823747398","2.08473452236327","2.07675288014038","2.32318608377203","2.12723481091529","2.35904478522927","2.28040995905496","2.34716454675255","2.31642851693206","2.35030552723389","2.12922044004672","2.28198672465095","2.30278985783678","2.33005264362554","2.28351262684062","2.31225045141273","2.31610153789142","2.29302408382289","2.38847289888718","2.29088782075736","2.21768084665773","2.43076218814374","2.3224231326772"
"9","2.33127336537728","2.10543984130617","2.08876935988403","2.36939912151631","2.13613590702169","2.09163042648966","2.33134379163219","2.13074634223639","2.39785992217899","2.26807753930665","2.38020396225935","2.33486510437758","2.35436535184761","2.12987335011826","2.29114213778897","2.34202510695987","2.37389689987538","2.30827385782753","2.32490272373541","2.32100622350107","2.30704673368899","2.37805987405438","2.32089723048753","2.24436736682102","2.40697606577536","2.33419437814036"
"10","2.36427644987956","2.11588137200405","2.05640751761145","2.38498512245365","2.12994147075172","2.09964141298543","2.34563864456288","2.16993464052288","2.38441290913252","2.2996435928457","2.37061621016759","2.32218837849417","2.36301213092241","2.1187151903563","2.29353998408702","2.32547493705653","2.37343186301758","2.29587243457694","2.29699142951603","2.29010174993237","2.30970728109661","2.38252020353188","2.30075532158389","2.25284199282826","2.44029907682918","2.33087428326613"
"11","2.37593870232918","2.1586066333148","2.09750514991989","2.39027491671117","2.11372666396699","2.11795223926146","2.36689228220471","2.18978701926745","2.40517398219389","2.284384570949","2.40410976323084","2.3368605149333","2.37997144383045","2.18519366241957","2.29172557097914","2.34945340003706","2.39007146308588","2.27664606698711","2.28322652018006","2.32524018287351","2.32187816760946","2.41143409374126","2.28634644519286","2.26199740596628","2.41836423285267","2.31544757981013"
