Excel Raw Data Export,,,,,,,,,,,,,,,,,,,,,,,,,,
"Copyright (c) 2008 Corbett Life Science, a QIAGEN Company. All rights reserved.",,,,,,,,,,,,,,,,,,,,,,,,,,
File,Run 2024-04-16 f5 group 3 pcr.rex,,,,,,,,,,,,,,,,,,,,,,,,,
Date,4/16/24,,,,,,,,,,,,,,,,,,,,,,,,,
Time,2:12:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Cycling A.Green,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Page 1, Factor V WT, Factor V WT, Factor V WT, Factor V WT, Factor V WT, Factor V WT, Factor V WT, Factor V WT, Factor V MUT, Factor V MUT, Factor V MUT, Factor V MUT, Factor V MUT, Factor V MUT, Factor V MUT, Factor V MUT, Factor V NTC, Factor V NTC, Factor V NTC, Factor V NTC, Factor V NTC, Factor V NTC, Factor V NTC, Factor V NTC, PCR NTC, PCR NTC
1,5.838387884,5.907911803,5.537146915,5.722336665,5.883442871,6.045624475,5.504900227,6.062104219,5.771834025,6.076377273,6.007190814,5.501229525,5.53546451,5.666285191,5.580224308,5.445436281,5.584684637,5.440222782,5.828668928,5.450904097,5.742087317,5.567782336,5.795611271,5.65640204,6.110856794,6.116402862
2,5.970702678,5.905568453,5.682663208,5.705348287,5.996795605,6.119739725,5.595701316,6.130488113,6.005569543,6.157124328,6.118750403,5.667200732,5.600647922,5.748701861,5.701724269,5.546654459,5.668617642,5.530008254,5.950909547,5.551130439,5.816166934,5.534883214,5.905495791,5.828242102,6.083881023,6.162464986
3,6.022888533,6.031891356,5.707528147,5.800063216,6.095826658,6.190203708,5.684087383,6.249459576,6.090311611,6.243076219,6.235141527,5.804422936,5.65133135,5.709808617,5.798936955,5.558194095,5.665238858,5.61121186,5.928951647,5.633513507,5.820008937,5.640039673,5.901015899,5.826481446,6.188120265,6.172401516
4,6.09079118,6.170239821,5.825767402,5.820662896,6.171303329,6.245771979,5.682694509,6.255690344,6.156913609,6.242974492,6.259822995,5.865695176,5.800541108,5.854769325,5.837556813,5.62834109,5.819790951,5.666247044,6.147750929,5.722133211,6.007476921,5.664475907,5.992929987,5.832652127,6.239523047,6.249332418
5,6.126606285,6.277016643,5.818977137,5.948947672,6.239741033,6.252820194,5.836139903,6.280433895,6.328552173,6.402278681,6.396327662,5.896086061,5.887282779,5.951454512,5.956454566,5.806644717,5.86546629,5.716851242,6.141211348,5.753363343,5.999593093,5.686056524,6.051422904,5.909920907,6.196688792,6.399760942
6,6.089766646,6.302412015,5.92137244,5.908184285,6.266778566,6.321812772,5.88158999,6.410696574,6.321812772,6.459245696,6.371808508,6.032327328,5.917855599,6.016155489,6.005188067,5.824720789,5.987053307,5.78377966,6.217581915,5.805752651,6.079861906,5.75687683,6.039622594,5.968922459,6.314386714,6.362058442
7,6.156906342,6.29645932,6.048349301,6.021082882,6.374933242,6.422522316,5.932707713,6.437069251,6.463486921,6.461105843,6.405940846,6.095311666,6.011400669,6.114994337,6.112637013,5.961347724,6.012258081,5.841026424,6.251482553,5.899372619,6.148495715,5.828564889,6.135870691,6.051258576,6.383318368,6.31942855
8,6.241292087,6.36825742,6.069148801,6.051728084,6.403194222,6.42803904,6.05990256,6.503522291,6.566720073,6.532387274,6.574196994,6.11687237,6.017109178,6.162355993,6.097708604,6.008021886,6.116731518,5.873088535,6.282037588,6.042463678,6.136633642,5.850635974,6.131619963,6.090420604,6.381450116,6.382276646
9,6.193942168,6.51114202,6.143383942,6.141247679,6.42440035,6.511846283,6.145042872,6.556191348,6.52851383,6.593804837,6.494748353,6.194290946,6.096331379,6.177710384,6.235926277,6.08013334,6.13946746,6.033315531,6.377457338,6.001373312,6.11467155,5.919279774,6.218883733,6.154573892,6.374515086,6.454184787
10,6.328151135,6.538021374,6.183094391,6.151892664,6.49391274,6.601270859,6.162260624,6.606611516,6.654459449,6.658369574,6.618424682,6.33432517,6.194181953,6.198786908,6.296576697,6.069784593,6.195671524,6.077159787,6.43900206,6.080618499,6.148241398,5.909701803,6.232723559,6.130184888,6.355586074,6.390681824
11,6.333048961,6.460200363,6.274382645,6.296526393,6.626448245,6.655476717,6.238269627,6.645740008,6.679789425,6.73580911,6.68127173,6.274764121,6.202247436,6.329823758,6.313478998,6.20889601,6.334158708,6.138813502,6.434025271,6.123954121,6.318455787,6.073417694,6.261590499,6.261081865,6.538817862,6.535657064
