"Excel Analysed Data Export"
"Copyright (c) 2013 QIAGEN GmbH. All Rights Reserved."
"File","Run 2024-04-16 f5 group2 pcr.rex"
"Date","4/16/2024"
"Time","4:07:32 PM"

"Operator","djn"
"Run Id",""
"Notes",""
"Machine Serial No","0512168"

"Channel","Gain"
"Green","5"
"Yellow","5"
"Orange","5"
"Red","5"
"Crimson","7"
"HRM","7"
"Green 2","7"
"Green 3","9"

"Channel","Threshold"
"Cycling A.Green 2 (Page 1)","0.26"

"Quantitative analysis of Cycling A.Green 2 (Page 1)"

"No.","Color","Name","Type","Ct","Ct Comment","Given Conc (Copies)","Calc Conc (Copies)","% Var","Rep. Ct","Rep. Ct Std. Dev.","Rep. Ct (95% CI)","Rep. Calc. Conc.","Rep. Calc. Conc. (95% CI)"
"1","16711680","Factor V WT","Unknown","","","","","","","","","",""
"2","16711680","Factor V WT","Unknown","","","","","","","","","",""
"3","16711680","Factor V WT","Unknown","","","","","","","","","",""
"4","16711680","Factor V WT","Unknown","","","","","","","","","",""
"5","16711680","Factor V WT","Unknown","","","","","","","","","",""
"6","16711680","Factor V WT","Unknown","","","","","","","","","",""
"7","16711680","Factor V WT","Unknown","","","","","","","","","",""
"8","16711680","Factor V WT","Unknown","","","","","","","","","",""
"9","16046161","Factor V MUT","Unknown","27.04","","","","","26.60","0.23","[26.41 , 26.79]","",""
"10","16046161","Factor V MUT","Unknown","26.34","","","","","","","","",""
"11","16046161","Factor V MUT","Unknown","26.70","","","","","","","","",""
"12","16046161","Factor V MUT","Unknown","26.48","","","","","","","","",""
"13","16046161","Factor V MUT","Unknown","26.76","","","","","","","","",""
"14","16046161","Factor V MUT","Unknown","26.40","","","","","","","","",""
"15","16046161","Factor V MUT","Unknown","26.65","","","","","","","","",""
"16","16046161","Factor V MUT","Unknown","26.43","","","","","","","","",""
"17","16711808","Factor V NTC","Unknown","","","","","","","","","",""
"18","16711808","Factor V NTC","Unknown","","","","","","","","","",""
"19","16711808","Factor V NTC","Unknown","","","","","","","","","",""
"20","16711808","Factor V NTC","Unknown","","","","","","","","","",""
"21","16711808","Factor V NTC","Unknown","","","","","","","","","",""
"22","16711808","Factor V NTC","Unknown","","","","","","","","","",""
"23","16711808","Factor V NTC","Unknown","","","","","","","","","",""
"24","16711808","Factor V NTC","Unknown","","","","","","","","","",""
"25","8355711","PCR NTC","Unknown","","","","","","","","","",""
"26","8355711","PCR NTC","Unknown","","","","","","","","","",""



