"Excel Raw Data Export"
"Copyright (c) 2013 QIAGEN GmbH. All Rights Reserved."
"File","Run 2024-04-15 jak2 group 3.rex"
"Date","4/15/2024"
"Time","11:58:08 AM"

"Operator","djn"
"Run Id",""
"Notes",""
"Machine Serial No","0512168"

"Channel","Gain"
"Green","5"
"Yellow","5"
"Orange","5"
"Red","5"
"Crimson","7"
"HRM","7"
"Green 2","7"
"Green 3","9"

"Channel","Threshold"


"Channel Cycling A.Green"

"ID","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26"
"Page 1"," JAK2 WT"," JAK2 WT"," JAK2 WT"," JAK2 WT"," JAK2 WT"," JAK2 WT"," JAK2 WT"," JAK2 WT"," JAK2 MUT"," JAK2 MUT"," JAK2 MUT"," JAK2 MUT"," JAK2 MUT"," JAK2 MUT"," JAK2 MUT"," JAK2 MUT"," JAK2 NTC"," JAK2 NTC"," JAK2 NTC"," JAK2 NTC"," JAK2 NTC"," JAK2 NTC"," JAK2 NTC"," JAK2 NTC"," PCR NTC"," PCR NTC"
"1","1.84878309300374","2.08886472877089","1.9254851097378","1.96571415156904","2.11449352763155","2.15947857742319","1.95130192154683","2.03479056992447","2.12507311614659","2.17231250476844","1.92673762111849","2.1373121232929","2.11469698125683","1.879911497673","2.15500986386773","2.08255130846113","2.15739094200985","2.1599654128837","2.12672617685206","2.14770733196002","1.88230934397105","2.09855148284995","2.08296548191261","1.9710587218026","2.11817022528856","1.89140662750184"
"2","1.88754100862135","2.10389214051379","1.86083772030213","2.01970761366504","2.09800651778221","2.18110111449548","1.97240464578528","2.02356428952904","2.11200122072175","2.22028941278197","1.97384985122454","2.12787060349432","2.18163322397701","1.90410794668062","2.15257848125781","2.11860619734275","2.17555504692149","2.15234372707479","2.14890625510905","2.17358898063865","1.91101642692396","2.12731110602477","2.13168535896849","1.93484397650111","2.10968693573409","1.93719151833137"
"3","1.91252765697719","2.1285245615756","1.92180444869847","2.03796953281961","2.15577281496256","2.2240024414435","1.98225593739441","2.06325451461638","2.13076981765469","2.24185549706264","1.98801579895652","2.15991454947738","2.16079487766373","1.9275414445934","2.18826111707778","2.15588180797611","2.19751713915138","2.13920587690329","2.16560733841576","2.20988784618906","1.91144680959284","2.14471421612644","2.12656268733174","1.94487133374751","2.15011356233604","1.92072938124666"
"4","1.94564266892031","2.13179435198204","1.9359629714402","2.07715978739096","2.16932427964701","2.20176786667975","2.00697753455822","2.053236034629","2.14338394242262","2.27170932460876","1.99950408178836","2.17919178047354","2.17617127665194","1.93985765512431","2.21179522392615","2.14447946194341","2.18966964217594","2.20307578284232","2.18432898451209","2.18865237404949","1.91841118368928","2.12466620889601","2.17833436876696","1.96350913906419","2.15559115993998","1.94599480019485"
"5","1.92853691411714","2.15588180797611","1.94051161320559","2.08717987843646","2.19129727117825","2.2676080309406","2.01889575544874","2.06932682281732","2.12233920805676","2.32776379034104","2.01602197299153","2.24089635854342","2.18040523602437","1.97322628542587","2.22300473616564","2.16537258423274","2.21671972644735","2.18291207533597","2.20563292662171","2.19811296762544","1.95544365606165","2.15391993373225","2.15630324762849","1.967650873579","2.15386180412502","1.96666993645707"
"6","1.97954393476319","2.1800055949747","1.98278273695989","2.09271616458616","2.20187685969329","2.28040213391552","2.01552605477989","2.08819714656291","2.16408143622609","2.29272672852439","2.01647974364843","2.20234636805935","2.1991520343546","1.97865916794733","2.22816932819222","2.18051422903792","2.22527402660156","2.17964228492954","2.22007869295578","2.20983334968229","1.95119292853328","2.15318670800474","2.18442435339895","1.95119292853328","2.15546400142418","1.96892245873706"
"7","1.94890407524878","2.18770776793208","1.96383611810483","2.11357798631774","2.22313776353602","2.28111478054257","2.02287679513589","2.06525775031154","2.1665631233038","2.30389432037406","2.0230193244613","2.23359382663571","2.2089614055739","1.96677054539266","2.22053981724387","2.18966964217594","2.21197128956342","2.20772615142036","2.18977863518948","2.22453063835531","1.93724182279916","2.13026118359147","2.17959868772412","1.94705119401846","2.12361987596595","1.99533509902015"
"8","1.97626132164928","2.18757152666514","1.98637251967534","2.11103481600163","2.23366648864474","2.28160524910353","2.05070354990245","2.091307639488","2.15680405655228","2.33033875028611","2.02334630350195","2.25264778709503","2.21780346379797","1.97909514000153","2.23261288951378","2.20122290161201","2.21009325609921","2.21886523740495","2.18708734616265","2.21723760840263","1.92609547061367","2.15947857742319","2.18792575395917","1.99696999422337","2.15250302455613","1.9728898044302"
"9","1.9977580975521","2.20623658023521","2.02007651309551","2.13575443147428","2.25579207039495","2.28404082375243","2.04351001100829","2.09430075532158","2.20122290161201","2.36311385773505","2.03097581445029","2.25194552529183","2.22922572201583","2.02172503242542","2.26825360494392","2.20981155107958","2.24819889045112","2.20536463612682","2.21495602131903","2.23908539770293","1.94423414382215","2.18448157473106","2.19014648661021","1.98796444647898","2.17552961521833","2.01484484844521"
"10","1.99959945067521","2.23577368690667","2.01081210694394","2.14541847867552","2.22657740138857","2.2976017903919","2.0526436255436","2.11686230912599","2.16945143816281","2.34419267058315","2.03790106284956","2.25266760400658","2.22258553226738","1.98825055313954","2.24002441443503","2.221713588159","2.23982096080975","2.19448210292797","2.2121512677704","2.25803006027314","1.93799750769309","2.15337496866451","2.18397294066784","1.99206530861372","2.17755779354543","2.01160859435064"
"11","2.02763790341039","2.23381907886371","2.05212045907857","2.17827025522958","2.26993209735256","2.29375797011412","2.06073090714885","2.08804455634394","2.18051422903792","2.37441280013951","2.04552274865848","2.2595090116262","2.25261310749981","1.98367284657053","2.25258376322693","2.21408407721065","2.23077363241016","2.18934266313529","2.22546965508742","2.22425675847511","1.94923105428942","2.17301187660538","2.19946084789298","1.9752216959816","2.17310270411667","2.01444520739554"
