"Excel Analysed Data Export"
"Copyright (c) 2008 Corbett Life Science, a QIAGEN Company. All rights reserved."
"File","Run 2024-04-15 jak2 samples group2.rex"
"Date","4/15/2024"
"Time","9:31:36 AM"

"Quantitative analysis of Cycling A.g2 (Page 1)"

"Analysis","No.","Name","Type","Ct","Given Conc (%)","Calc Conc (%)","% Var","Rep. Ct","Rep. Ct Std. Dev.","Rep. Ct (95% CI)","Rep. Calc. Conc.","Rep. Calc. Conc. (95% CI)"
"Cycling A.g2 (Page 1)","1","JAK2 WT","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","2","JAK2 WT","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","3","JAK2 WT","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","4","JAK2 WT","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","5","JAK2 WT","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","6","JAK2 WT","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","7","JAK2 WT","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","8","JAK2 WT","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","9","JAK2 MUT","Unknown","24.54","","","","24.56","0.12","[24.46 , 24.66]","",""
"Cycling A.g2 (Page 1)","10","JAK2 MUT","Unknown","24.45","","","","","","","",""
"Cycling A.g2 (Page 1)","11","JAK2 MUT","Unknown","24.73","","","","","","","",""
"Cycling A.g2 (Page 1)","12","JAK2 MUT","Unknown","24.39","","","","","","","",""
"Cycling A.g2 (Page 1)","13","JAK2 MUT","Unknown","24.54","","","","","","","",""
"Cycling A.g2 (Page 1)","14","JAK2 MUT","Unknown","24.55","","","","","","","",""
"Cycling A.g2 (Page 1)","15","JAK2 MUT","Unknown","24.53","","","","","","","",""
"Cycling A.g2 (Page 1)","16","JAK2 MUT","Unknown","24.73","","","","","","","",""
"Cycling A.g2 (Page 1)","17","JAK2 NTC","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","18","JAK2 NTC","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","19","JAK2 NTC","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","20","JAK2 NTC","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","21","JAK2 NTC","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","22","JAK2 NTC","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","23","JAK2 NTC","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","24","JAK2 NTC","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","25","PCR NTC","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","26","PCR NTC","Unknown","","","","","","","","",""



