"Excel Analysed Data Export"
"Copyright (c) 2008 Corbett Life Science, a QIAGEN Company. All rights reserved."
"File","Run 2024-04-10 Human Targets Trial 1 JAK2 BRAF F5.rex"
"Date","4/10/2024"
"Time","2:38:19 PM"

"Quantitative analysis of Cycling A.g2 (Page 1)"

"Analysis","No.","Name","Type","Ct","Given Conc (%)","Calc Conc (%)","% Var","Rep. Ct","Rep. Ct Std. Dev.","Rep. Ct (95% CI)","Rep. Calc. Conc.","Rep. Calc. Conc. (95% CI)"
"Cycling A.g2 (Page 1)","1","JAK2 WT","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","2","JAK2 WT","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","3","JAK2 WT","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","4","JAK2 WT","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","5","JAK2 MUT","Unknown","22.40","","","","22.39","0.05","[22.31 , 22.47]","",""
"Cycling A.g2 (Page 1)","6","JAK2 MUT","Unknown","22.44","","","","","","","",""
"Cycling A.g2 (Page 1)","7","JAK2 MUT","Unknown","22.41","","","","","","","",""
"Cycling A.g2 (Page 1)","8","JAK2 MUT","Unknown","22.32","","","","","","","",""
"Cycling A.g2 (Page 1)","9","JAK2 NTC","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","10","JAK2 NTC","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","11","JAK2 NTC","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","12","JAK2 NTC","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","13","BRAF WT","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","14","BRAF WT","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","15","BRAF WT","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","16","BRAF WT","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","17","BRAF MUT","Unknown","24.10","","","","24.10","0.04","[24.03 , 24.17]","",""
"Cycling A.g2 (Page 1)","18","BRAF MUT","Unknown","24.08","","","","","","","",""
"Cycling A.g2 (Page 1)","19","BRAF MUT","Unknown","24.06","","","","","","","",""
"Cycling A.g2 (Page 1)","20","BRAF MUT","Unknown","24.16","","","","","","","",""
"Cycling A.g2 (Page 1)","21","BRAF NTC","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","22","BRAF NTC","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","23","BRAF NTC","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","24","BRAF NTC","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","25","F5 WT","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","26","F5 WT","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","27","F5 WT","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","28","F5 WT","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","29","F5 MUT","Unknown","22.49","","","","22.46","0.25","[22.07 , 22.85]","",""
"Cycling A.g2 (Page 1)","30","F5 MUT","Unknown","22.25","","","","","","","",""
"Cycling A.g2 (Page 1)","31","F5 MUT","Unknown","22.79","","","","","","","",""
"Cycling A.g2 (Page 1)","32","F5 MUT","Unknown","22.30","","","","","","","",""
"Cycling A.g2 (Page 1)","33","F5 NTC","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","34","F5 NTC","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","35","F5 NTC","Unknown","","","","","","","","",""
"Cycling A.g2 (Page 1)","36","F5 NTC","Unknown","","","","","","","","",""



