Excel Analysed Data Export,,,,,,,,,,,,
"Copyright (c) 2008 Corbett Life Science, a QIAGEN Company. All rights reserved.",,,,,,,,,,,,
File,Run 2024-03-29 71C S315T OLAGEN PCR 1.rex,,,,,,,,,,,
Date,3/29/24,,,,,,,,,,,
Time,10:07:40 AM,,,,,,,,,,,
,,,,,,,,,,,,
Quantitative analysis of Cycling A.Green (Page 1),,,,,,,,,,,,
,,,,,,,,,,,,
Analysis,No.,Name,Type,Ct,Given Conc (%),Calc Conc (%),% Var,Rep. Ct,Rep. Ct Std. Dev.,Rep. Ct (95% CI),Rep. Calc. Conc.,Rep. Calc. Conc. (95% CI)
Cycling A.Green (Page 1),1,Wild-Type (S315),Unknown,,,,,,,,,
Cycling A.Green (Page 1),2,Wild-Type (S315),Unknown,,,,,,,,,
Cycling A.Green (Page 1),3,Wild-Type (S315),Unknown,,,,,,,,,
Cycling A.Green (Page 1),4,Wild-Type (S315),Unknown,,,,,,,,,
Cycling A.Green (Page 1),5,Wild-Type (S315),Unknown,,,,,,,,,
Cycling A.Green (Page 1),6,Wild-Type (S315),Unknown,,,,,,,,,
Cycling A.Green (Page 1),7,Wild-Type (S315),Unknown,,,,,,,,,
Cycling A.Green (Page 1),8,Wild-Type (S315),Unknown,,,,,,,,,
Cycling A.Green (Page 1),9,Wild-Type (S315),Unknown,,,,,,,,,
Cycling A.Green (Page 1),10,Wild-Type (S315),Unknown,,,,,,,,,
Cycling A.Green (Page 1),11,Mutant (S315T),Unknown,29.27,,,,29.54,0.22,"[29.38 , 29.70]",,
Cycling A.Green (Page 1),12,Mutant (S315T),Unknown,29.48,,,,,,,,
Cycling A.Green (Page 1),13,Mutant (S315T),Unknown,29.38,,,,,,,,
Cycling A.Green (Page 1),14,Mutant (S315T),Unknown,29.42,,,,,,,,
Cycling A.Green (Page 1),15,Mutant (S315T),Unknown,30.01,,,,,,,,
Cycling A.Green (Page 1),16,Mutant (S315T),Unknown,29.6,,,,,,,,
Cycling A.Green (Page 1),17,Mutant (S315T),Unknown,29.53,,,,,,,,
Cycling A.Green (Page 1),18,Mutant (S315T),Unknown,29.46,,,,,,,,
Cycling A.Green (Page 1),19,Mutant (S315T),Unknown,29.82,,,,,,,,
Cycling A.Green (Page 1),20,Mutant (S315T),Unknown,29.45,,,,,,,,
Cycling A.Green (Page 1),21,OLA NTC,Unknown,,,,,,,,,
Cycling A.Green (Page 1),22,OLA NTC,Unknown,,,,,,,,,
Cycling A.Green (Page 1),23,OLA NTC,Unknown,,,,,,,,,
Cycling A.Green (Page 1),24,OLA NTC,Unknown,,,,,,,,,
Cycling A.Green (Page 1),25,OLA NTC,Unknown,,,,,,,,,
Cycling A.Green (Page 1),26,OLA NTC,Unknown,,,,,,,,,
Cycling A.Green (Page 1),27,OLA NTC,Unknown,,,,,,,,,
Cycling A.Green (Page 1),28,OLA NTC,Unknown,,,,,,,,,
Cycling A.Green (Page 1),29,OLA NTC,Unknown,,,,,,,,,
Cycling A.Green (Page 1),30,OLA NTC,Unknown,,,,,,,,,
Cycling A.Green (Page 1),31,PCR NTC,Unknown,,,,,,,,,
Cycling A.Green (Page 1),32,PCR NTC,Unknown,,,,,,,,,
