Excel Raw Data Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copyright (c) 2013 QIAGEN GmbH. All Rights Reserved.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File,Run 2024-03-29 71c OLAgen s315t pcr 2.rex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,3/29/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,1:39:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operator,djn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run Id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine Serial No,512168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel,Gain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crimson,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRM,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green 2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green 3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel,Threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Cycling A.Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Page 1, Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), OLA NTC, OLA NTC, OLA NTC, OLA NTC, OLA NTC, OLA NTC, OLA NTC, OLA NTC, OLA NTC, OLA NTC, PCR NTC, PCR NTC
1,1.886930648,1.66229437,1.70748455,1.908903639,1.883268482,1.747444114,1.65387452,2.043284759,1.751266205,1.982909895,1.68388393,1.713822913,1.935225452,2.042830901,1.697852293,1.880028875,1.638183159,1.896696422,1.878150841,1.616121157,1.947763282,1.589336124,1.91735479,1.73065919,1.88845655,1.839322499,1.643091478,1.636203119,1.860201928,1.830495742,1.715114061,1.605576083
2,1.99282826,1.675694921,1.649500267,1.961674423,1.88988855,1.751544976,1.669990954,2.034966636,1.767198189,1.965463747,1.710129447,1.719473782,1.970593685,2.008204659,1.695887694,1.92808641,1.649391274,1.878603582,1.927468783,1.616216526,1.942942996,1.656926324,1.931995626,1.712876071,1.915334227,1.842233451,1.623102159,1.637674525,1.841153582,1.816368571,1.714732586,1.584355981
3,1.986397672,1.70583149,1.668138072,1.943454425,1.91435329,1.758057309,1.707688004,2.047760739,1.818207828,2.005035477,1.736594069,1.755601333,1.960975051,1.980403056,1.723048753,1.941710536,1.653939255,1.933928435,1.950647963,1.647974365,1.971770809,1.650321907,1.958554149,1.674853719,1.950102998,1.854558046,1.652075227,1.677075499,1.87218026,1.872826952,1.744927842,1.614277358
4,1.997812874,1.718517997,1.67020894,1.983672847,1.952215786,1.742834618,1.718601838,2.094809389,1.829695444,2.037297409,1.760019183,1.770962081,1.97461916,1.969939727,1.735399584,1.937241823,1.651839984,1.975221696,1.954299229,1.68143522,1.960348342,1.688234707,1.961394675,1.722031484,1.940375372,1.89626045,1.665395082,1.689459831,1.917041784,1.860946713,1.759873859,1.650644694
5,2.025787747,1.723724509,1.709487297,1.997296973,1.972010594,1.731027041,1.704977711,2.108695099,1.824979019,2.031280995,1.749882833,1.802185855,1.958931432,2.014572366,1.730576537,1.955552649,1.647865372,1.982146944,1.97940032,1.683724073,1.996936458,1.684494291,2.007254971,1.746923253,1.95691087,1.906996262,1.685182903,1.689173724,1.920876103,1.913154367,1.761399761,1.650087152
6,2.035655248,1.74786227,1.724574655,2.03915029,1.990691997,1.744824274,1.750877394,2.143129625,1.872568093,2.036609915,1.76661326,1.811722744,1.953154803,1.963945111,1.780422675,1.989013504,1.65501699,2.002570558,1.950211991,1.689728597,1.981592071,1.717109472,1.972119587,1.739274179,1.994252435,1.903817299,1.702499936,1.697852293,1.933972032,1.921228234,1.815823606,1.646651916
7,2.048582378,1.766449771,1.711553623,2.039779096,2.013275349,1.752013151,1.714787082,2.152067053,1.863762366,2.053864347,1.781236489,1.814933496,1.965144034,1.985433503,1.747990317,1.98611429,1.646143282,2.027822283,1.976320772,1.70830619,1.96254497,1.689809517,2.009504191,1.720236733,1.986622924,1.906996262,1.688029297,1.717021439,1.926275449,1.91175199,1.783888653,1.680605196
8,2.061611235,1.76915643,1.718471046,2.028552323,1.987269616,1.76077375,1.743519317,2.181059194,1.866464485,2.073224231,1.818548431,1.800916715,1.958800641,2.010732179,1.724778108,1.982499076,1.64685537,2.046343829,1.973500165,1.694103562,1.980076077,1.696920612,2.009143675,1.730373083,2.004448592,1.90643872,1.70407371,1.720740826,1.944094759,1.914668159,1.779710587,1.67925536
9,2.073818453,1.753363343,1.731492078,2.04509041,2.00573974,1.738824234,1.764378903,2.188754101,1.86192765,2.079100422,1.842272577,1.82080822,1.978967981,2.03520139,1.766885743,2.001271585,1.625630797,2.024681468,2.009803922,1.69539471,2.022474359,1.713683528,2.031102973,1.74985768,2.026632862,1.942473487,1.711953264,1.709842763,1.993532522,1.944711477,1.811950162,1.709010452
10,2.075008992,1.783677933,1.75153226,2.042369217,2.039845121,1.742144329,1.77909296,2.190105614,1.900921997,2.071793698,1.827725643,1.83175021,1.953663437,2.015062834,1.775211132,2.026289115,1.650791415,2.039845121,1.986216017,1.726340342,2.012563261,1.715215788,2.007617773,1.768990146,2.018114639,1.935782993,1.707611709,1.733072756,1.988468539,1.930673177,1.819579673,1.686993864
11,2.084585845,1.7692249,1.761908395,2.054974094,2.044581776,1.735459424,1.766055719,2.181805377,1.909717454,2.085086654,1.826098014,1.846459027,1.963249233,2.036316472,1.748378729,2.01419089,1.640344854,2.070344091,2.007617773,1.711044989,2.011520562,1.714057667,2.06192983,1.758116759,2.035362783,1.928231734,1.722634579,1.723102608,1.988250553,1.962746188,1.821164263,1.682866662
12,2.078714754,1.758449683,1.76407009,2.049490094,2.065359477,1.732168262,1.781033036,2.231784543,1.879802505,2.110017548,1.845864805,1.842240787,1.981592071,2.053210389,1.753889929,2.05106686,1.647770911,2.059109636,2.005442384,1.729254088,2.018959335,1.739223316,2.057221332,1.743284563,2.054082333,1.94623738,1.726939803,1.761399761,2.01866687,1.963014478,1.829556725,1.706467282
13,2.117380026,1.786395492,1.785087576,2.081127133,2.079804685,1.741461306,1.766642604,2.23806254,1.87542355,2.119478141,1.851809466,1.876986852,1.97655197,2.018005646,1.794133996,2.069123369,1.62791965,2.06719056,2.019640541,1.743452245,2.03307393,1.750209812,2.076518126,1.751618337,2.04811287,1.963281245,1.726176852,1.744324189,1.988133176,2.000223016,1.83260853,1.724923432
14,2.120368251,1.799038682,1.778983967,2.077159787,2.084969277,1.789556289,1.796272984,2.263828489,1.901508883,2.101167315,1.862211032,1.872383714,1.974644592,2.054169528,1.762744008,2.102794944,1.661707485,2.113726664,2.021166443,1.723330458,2.016384375,1.77582317,2.0608399,1.78662801,2.059967956,1.981275,1.752171686,1.775291829,2.033334027,1.969634546,1.845070064,1.726558328
15,2.145513848,1.78601765,1.791526548,2.067270488,2.084484118,1.763665494,1.824274756,2.251468681,1.904678064,2.122529946,1.840707549,1.89771369,1.974008799,2.058823529,1.823922625,2.103100125,1.624577198,2.087979161,2.019054704,1.760455155,2.043183032,1.765468833,2.053512216,1.772880358,2.090079093,1.994354162,1.732016362,1.781490806,2.041847868,1.987160623,1.851326263,1.725127794
16,2.146072437,1.818366776,1.800212453,2.114900435,2.125699127,1.758166302,1.796313856,2.257027325,1.912282423,2.143305691,1.847750175,1.889880725,1.957732509,2.068578404,1.788459093,2.089832042,1.623014965,2.118142977,2.029667898,1.747971822,2.016303678,1.74340194,2.084969277,1.775605184,2.063371892,1.983950283,1.748302434,1.765468833,2.072429491,2.009486025,1.865924061,1.755726535
17,2.16595947,1.839299024,1.810864424,2.100697807,2.130159457,1.757648585,1.806261285,2.267608031,1.893317638,2.11653533,1.832099896,1.867026101,1.938952175,2.05738566,1.798217042,2.126889666,1.623750668,2.147071539,2.018259963,1.762635015,2.031797454,1.763121292,2.066071565,1.760255334,2.068578404,1.998303556,1.746504049,1.793044066,2.048632683,1.975789019,1.873669171,1.756694896
18,2.152793673,1.806123228,1.821491242,2.098878462,2.13229572,1.759583211,1.799038682,2.261621799,1.93308332,2.155082526,1.867000018,1.887541009,1.97991678,2.03947727,1.796902419,2.133563392,1.608300908,2.142014543,2.061711844,1.761145444,2.025526164,1.768902113,2.089941035,1.778221016,2.084382391,2.007852527,1.761196307,1.793639335,2.072611146,2.032298263,1.875769763,1.780931309
19,2.18783856,1.806566466,1.801109549,2.122638939,2.161535821,1.758308831,1.798217042,2.319562066,1.926887487,2.123074911,1.871773353,1.89153183,1.973194985,2.074273289,1.763070987,2.165146214,1.585514102,2.121113037,2.024050566,1.744004476,2.02344803,1.753261616,2.088088154,1.778591592,2.093156329,1.992719267,1.752062693,1.785741534,2.075226978,2.018768597,1.881554777,1.776384903
20,2.200468335,1.802090486,1.833562219,2.078161405,2.127679866,1.751735714,1.798657206,2.30858102,1.943236439,2.16291549,1.853081051,1.898222324,1.968515551,2.072036455,1.810700934,2.165662114,1.600453411,2.132795106,2.047862465,1.751970468,2.029144732,1.754940108,2.081447964,1.776566304,2.072591329,1.997514959,1.763070987,1.788826875,2.087979161,2.05361003,1.908903639,1.764960199
21,2.22581445,1.805846553,1.824216068,2.136873426,2.183260853,1.767103729,1.807431144,2.305002416,1.922636759,2.129549096,1.857022965,1.878502973,1.975607364,2.100404364,1.804328476,2.152380407,1.576365955,2.168179853,2.064240482,1.77286359,2.039896473,1.768084666,2.104626027,1.78034638,2.092113629,1.993187296,1.74898909,1.803997864,2.112435516,2.06565541,1.897332214,1.79527479
22,2.17873401,1.810737265,1.829321971,2.129572571,2.229444826,1.750591287,1.810482948,2.246032654,1.926342521,2.137070896,1.88343281,1.900452489,1.972404646,2.099387096,1.825448527,2.189288167,1.623356476,2.194356342,2.061188678,1.797403786,2.022837669,1.760077312,2.108669668,1.804430203,2.121512678,2.01866687,1.739964468,1.818303197,2.118069616,2.054191326,1.915946265,1.802912126
23,2.20959613,1.853081051,1.830613119,2.1227647,2.202748804,1.747627516,1.808194095,2.298947714,1.91817643,2.171685795,1.906321343,1.906673475,1.986137765,2.093728542,1.764705882,2.223566469,1.638818952,2.230986378,2.075703822,1.778330009,2.030162,1.782605889,2.104422573,1.788643473,2.092825717,2.015615066,1.759717356,1.834897383,2.126249332,2.091190262,1.904464651,1.819093396
24,2.23133851,1.851028349,1.861219196,2.118376101,2.238607505,1.721599145,1.750645784,2.347424453,1.939803159,2.166898486,1.909775583,1.937743191,2.013838759,2.122420953,1.816739147,2.212206044,1.650390377,2.113279164,2.081221594,1.787535727,2.021922128,1.767430708,2.10332901,1.834643066,2.137906345,2.011021709,1.769537906,1.791409171,2.129396506,2.077809274,1.941837695,1.80453193
25,2.228325831,1.835965515,1.846850284,2.147611963,2.223021504,1.743871449,1.809719997,2.327654797,1.931574186,2.146726395,1.940947585,1.933419801,1.996157501,2.165473193,1.85142799,2.288970662,1.711735278,2.238403143,2.121549009,1.831954572,2.029776891,1.765330115,2.096237477,1.810591941,2.149878808,2.014308267,1.674321609,1.814806338,2.165541314,2.081657566,1.934726599,1.868675309
26,2.247653925,1.821545739,1.847358918,2.080923679,2.221204954,1.717250324,1.793748887,2.321484116,1.959004095,2.186181866,2.047379263,1.996134381,2.046888794,2.208634427,1.87348091,2.33880115,1.746798971,2.294487385,2.170813851,1.892236092,2.043401018,1.804379339,2.127412833,1.817552962,2.12340189,2.007960123,1.737112484,1.811335658,2.173495079,2.102693217,1.944938406,1.83947509
27,2.253089952,1.825918036,1.839665827,2.158744691,2.237408582,1.702296483,1.834032705,2.314139664,1.929884794,2.157320516,2.141897166,2.004177157,2.077733817,2.315011608,1.924353399,2.462261169,1.787467257,2.395196929,2.271598852,1.999149854,2.070649271,1.780291883,2.122224765,1.817222349,2.147147834,2.071564813,1.776997872,1.802526458,2.167050386,2.123703717,1.947755457,1.861498945
28,2.235446708,1.856260014,1.87862035,2.143892576,2.254011851,1.691106533,1.864449022,2.364538033,1.892118715,2.17804931,2.363949471,2.327000839,2.223525597,2.461687139,2.129924703,2.640464746,1.893644617,2.606894898,2.473487449,2.191195544,2.069995313,1.776384903,2.111194672,1.81996534,2.137244003,2.06130312,1.774976378,1.795529107,2.158515806,2.125886931,1.927850258,1.870538099
29,2.239043477,1.842336156,1.885760789,2.138987891,2.199764072,1.746490425,1.849800361,2.35779632,1.943563418,2.170820262,2.670233463,2.582882899,2.443071132,2.783597725,2.378595407,2.920694168,2.193190955,2.977856812,2.778231915,2.471961547,2.042420081,1.799038682,2.118186993,1.787376429,2.179624119,2.058543781,1.767698998,1.811832785,2.173774828,2.117036698,1.952487221,1.864843214
30,2.271196416,1.82813255,1.870756085,2.130636301,2.206870721,1.723557387,1.855279077,2.339677565,1.971700383,2.18731143,3.131532769,3.028798469,2.780302783,3.225287721,2.722679015,3.49126421,2.53166247,3.450471758,3.240348669,2.878069516,2.050225657,1.847104601,2.148579276,1.814733676,2.140586455,1.997882811,1.787300972,1.838167173,2.188347194,2.144941634,1.943236439,1.888957918
31,2.264656835,1.83587832,1.841051855,2.156804057,2.25242237,1.721762635,1.861709664,2.363739869,1.972756777,2.164601249,3.778992142,3.649347677,3.338564998,3.830777447,3.283959498,4.234495953,3.021286336,4.133033239,3.858243687,3.522545205,2.068536484,1.886451078,2.126235708,1.81241967,2.157625696,2.080785622,1.781745123,1.809211363,2.190051118,2.143892576,1.932664116,1.869091464
32,2.295674965,1.85112281,1.8814374,2.187791609,2.256691961,1.688563363,1.885310844,2.348480847,1.935078731,2.177789404,4.57955945,4.426533259,4.062932566,4.572315048,3.943987652,5.128175784,3.709976857,5.038856009,4.665293355,4.212252995,2.061493858,1.949667026,2.133093884,1.822537575,2.167639429,2.082093538,1.809592838,1.852009286,2.180819409,2.164339666,1.954782432,1.896492968
33,2.336766613,1.883399274,1.895297678,2.144274052,2.29699143,1.681035579,1.886015106,2.38434933,1.994471539,2.228529285,5.543195748,5.223817153,4.859082933,5.544157529,4.733552046,6.117545332,4.471002409,5.909349672,5.541841999,5.171536838,2.094860253,2.034027619,2.14858766,1.80777794,2.189765011,2.085908293,1.832390544,1.874952316,2.186383084,2.190843413,1.971656367,1.908140688
34,2.309548333,1.87779871,1.924467842,2.165691179,2.287545368,1.668029079,1.878150841,2.400713653,1.980482324,2.231413966,6.530098421,6.138821886,5.617902354,6.459965609,5.633957863,7.259021897,5.138017853,7.07092902,6.538999517,5.986530445,2.107270924,2.133211261,2.148470283,1.824040002,2.18731143,2.070445818,1.881110421,1.877916087,2.200799752,2.319698307,1.962717123,1.934022337
35,2.310651887,1.897568366,1.874746906,2.166653951,2.269143715,1.679509677,1.884162225,2.391374838,1.988759187,2.235991673,7.388545561,7.03994049,6.592878396,7.465018692,6.523231861,8.396849012,5.903238727,8.150733705,7.470944279,6.967555505,2.18112459,2.243780481,2.15304799,1.81857023,2.196281885,2.079677526,1.981434857,1.949750867,2.192111086,2.411688411,1.947705152,1.940008569
36,2.347854836,1.899513472,1.903671975,2.180514229,2.336391007,1.719255796,1.92802828,2.4539777,1.996018782,2.21419307,8.265405254,8.054692694,7.574451311,8.593881132,7.340645926,9.660486763,6.418961878,9.128416407,8.280308232,7.931522205,2.265354391,2.321304138,2.152369811,1.805360276,2.22432942,2.092011902,2.132624376,2.03393225,2.216058774,2.570000763,1.951221993,1.835777711
37,2.334450832,1.923330351,1.898331317,2.203097581,2.326187025,1.703963237,1.922745752,2.458463182,2.088858371,2.224530638,8.952329428,8.858981206,8.418637135,9.442634881,8.353551537,10.79139827,7.506784815,9.90474849,9.059868186,8.862694235,2.403499402,2.376306554,2.133211261,1.846693781,2.279152906,2.113919498,2.362448721,2.114078795,2.211032273,2.689620595,1.954026747,1.865239361
38,2.361503183,1.885252155,1.883902319,2.183566033,2.336156252,1.752244348,1.922402005,2.435012916,2.056446643,2.271850374,9.519449803,9.70616846,9.221304369,10.2606023,8.947186178,11.70097012,7.931857568,10.51534412,9.141093133,9.6950103,2.533150225,2.427593007,2.14017319,1.817240515,2.351517001,2.106801416,2.590109974,2.398514789,2.232503897,2.777728871,2.0020854,1.863794156
39,2.211947814,1.947718776,1.920054463,2.201994237,2.357518883,1.788357366,1.921469893,2.479373072,2.070649271,2.239588442,9.87047438,10.27531635,9.88174258,10.71837295,9.457650765,12.51621271,8.202773327,10.87139914,9.881415601,10.44131271,2.669718471,2.507915618,2.180296243,1.82105527,2.383840696,2.139009689,2.825767402,2.733806363,2.217571854,2.853789226,1.973601892,1.888521946
40,2.362668803,1.928036105,1.905953562,2.218988763,2.375829709,1.780291883,1.934961354,2.445258259,2.068152341,2.239202775,10.09032167,11.54562993,10.67673762,11.1263338,9.767299916,13.10760154,8.296838839,11.134647,10.06543773,10.98973831,2.712618121,2.556942562,2.168307012,1.817254139,2.406474912,2.173002095,2.987607494,3.026067496,2.23261289,2.940054484,1.981166007,1.906258742
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Cycling A.Green 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Page 1, Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), OLA NTC, OLA NTC, OLA NTC, OLA NTC, OLA NTC, OLA NTC, OLA NTC, OLA NTC, OLA NTC, OLA NTC, PCR NTC, PCR NTC
1,4.641249496,4.138246738,4.271305409,4.620986704,4.558926234,4.249528605,4.062496594,4.741690191,4.258206126,4.657816434,4.259365225,4.28293817,4.654669261,4.739921709,4.251515632,4.562256809,4.032724733,4.570077058,4.530810508,4.09787969,4.581412331,3.978662801,4.567729516,4.217006767,4.559090562,4.430457008,4.08812672,3.999944513,4.453631647,4.316968032,4.320236006,3.951617163
