"Excel Raw Data Export"
"Copyright (c) 2013 QIAGEN GmbH. All Rights Reserved."
"File","Run 2024-04-16 f5 group2 pcr.rex"
"Date","4/16/2024"
"Time","4:07:32 PM"

"Operator","djn"
"Run Id",""
"Notes",""
"Machine Serial No","0512168"

"Channel","Gain"
"Green","5"
"Yellow","5"
"Orange","5"
"Red","5"
"Crimson","7"
"HRM","7"
"Green 2","7"
"Green 3","9"

"Channel","Threshold"


"Channel Cycling A.Green"

"ID","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26"
"Page 1"," Factor V WT"," Factor V WT"," Factor V WT"," Factor V WT"," Factor V WT"," Factor V WT"," Factor V WT"," Factor V WT"," Factor V MUT"," Factor V MUT"," Factor V MUT"," Factor V MUT"," Factor V MUT"," Factor V MUT"," Factor V MUT"," Factor V MUT"," Factor V NTC"," Factor V NTC"," Factor V NTC"," Factor V NTC"," Factor V NTC"," Factor V NTC"," Factor V NTC"," Factor V NTC"," PCR NTC"," PCR NTC"
"1","1.73401177292228","1.98167009994659","1.97032120241093","1.74375407151786","1.76353602400753","1.8197337300679","1.80536027640628","1.7755632633179","2.01851427990132","1.8016209776338","1.78730830853742","2.04909590295262","1.93895217470406","2.01102170889308","1.94786500851962","1.81593259872042","1.92848605071082","1.94481320414028","1.71628783210381","1.96790519061062","1.71840061975104","2.00872307418428","1.9214923323415","1.95732560209557","1.80603239998983","1.78856081991811"
"2","1.74550494646627","2.01735168775681","2.0109356323593","1.76000101726813","1.75849328058072","1.80717682663208","1.79729479340374","1.75135423819333","2.04732476648247","1.81911016426924","1.79669896492968","2.07141222247654","1.97795071335927","2.06581724778108","1.99376727644066","1.83762220841644","1.96078431372549","1.95246121087275","1.75243997628983","2.03288319218738","1.69311563795427","1.97951129514416","1.92394467514632","1.9851987487602","1.82993820096132","1.80046921492332"
"3","1.75875486381323","2.02737904500322","1.99079372345566","1.77452887769894","1.77080949111162","1.78063248645762","1.81679463437303","1.72331578545815","2.05930037384604","1.81948577096208","1.7992566676476","2.08957045853361","1.97839087745245","2.09419176230804","1.97968202545909","1.83576206098522","1.9664391277225","1.97800520986605","1.77786678873884","2.04814221408408","1.70783668151487","1.97780399199488","1.9453073058017","1.98438493425905","1.87333838054827","1.82737686514294"
"4","1.79108219163152","2.07866025787747","2.0364690623331","1.82269016556039","1.80806693624272","1.82345311665522","1.83006535947712","1.77406937306228","2.04916926363482","1.84212297874059","1.81538763365268","2.08916355128303","1.98710612649729","2.13986974344035","2.00768037435467","1.8448157473106","1.97441570661987","1.98644721418812","1.78988326848249","2.06861473512881","1.71898750520861","1.98083902821829","1.94216830701152","2.01154599323517","1.86241448589812","1.83293550883388"
"5","1.8124666208896","2.06759746700236","2.0814479638009","1.84152918874823","1.78032094809389","1.83698278273696","1.84798492878145","1.79853004755729","2.0820426743979","1.86961165789273","1.85458152132448","2.12036825106177","2.01836168968236","2.14775819536634","2.02182040131228","1.85854886701762","2.00880535322392","2.01390478370336","1.80150360054228","2.10214825229703","1.74011538168096","2.00172935581496","1.93954884158592","1.98004882887007","1.89211871519036","1.85112280969457"
"6","1.80338163400649","2.10289667099006","2.05915414155286","1.82450951047884","1.81911016426924","1.86124854012242","1.8623636224918","1.81968922458737","2.07044581775641","1.84503373333769","1.85288123031314","2.10739808244958","2.01794695729235","2.17164492256046","2.03546376206697","1.85724095085505","2.01289974235728","2.00894560158694","1.8383306630045","2.13441018430719","1.74436051982401","1.99588006408789","1.98029406315055","2.02690674194451","1.88230934397105","1.8619528026715"
"7","1.81636857077461","2.09942342695833","2.07675288014038","1.8628213931487","1.80065995269703","1.87299407441316","1.85468324813713","1.81773098344396","2.10981409424989","1.89106965743496","1.85876685304472","2.13203749024303","2.02592126344701","2.16325246051728","2.02345529651549","1.88359909463137","2.02700846875715","2.01931356200068","1.85646809130444","2.12629383789832","1.74093702132155","2.03040360112917","1.96587065435772","2.01942255501422","1.88589772934016","1.86694132906081"
"8","1.86827649347677","2.11858803184049","2.12252994583047","1.86207751583124","1.8067771855824","1.87441824979019","1.86648355840391","1.8232183624722","2.1092663344895","1.90879464626317","1.85314952080802","2.13636479235014","2.00940973016963","2.16708628976883","2.06483176928359","1.89528789666121","2.00127158515806","1.98049388367539","1.84552783499911","2.11675331611244","1.73213373945807","2.0031825959956","1.96137119918306","2.04025838610412","1.89317510901397","1.88067444876783"
"9","1.8809605554284","2.10612649729152","2.09601739528496","1.87422404405696","1.82497901884489","1.91064752749349","1.90068724287081","1.82205437298136","2.10615192899468","1.92428003826493","1.88021667811093","2.16021972991531","2.01207810271669","2.18803474697272","2.06182083728433","1.90761249127008","2.02356428952904","2.04863268264504","1.86274509803922","2.12078605761371","1.76263501509553","2.01632715342947","1.98449448621113","2.04038554461992","1.91154853640548","1.8951705195697"
"10","1.90461203936828","2.13257546857913","2.14753126632275","1.87136644541085","1.81286717021439","1.92222985173317","1.92122823388559","1.84888481981638","2.12934564227766","1.94771877622644","1.89352724028851","2.15821258165044","2.05539024948501","2.22323949034867","2.06203882331143","1.88296330205234","2.03240634775311","2.02731364919509","1.87653271425302","2.18384347017902","1.75926985580224","2.03830014496071","2.00645238640203","2.05820729968132","1.92599374380102","1.8974593728542"
"11","1.88863093875683","2.16449225604639","2.18182214520049","1.8851431623233","1.85722641845324","1.91675113625217","1.92604069463763","1.87747005416953","2.11272057461117","1.96593423361563","1.89255468724455","2.20350448869561","2.06235217822538","2.23228591047314","2.06342666768394","1.8789959563592","2.03239272362642","2.04361900402184","1.89200133809884","2.16255553403642","1.80941481651026","2.05244017191831","1.99304624573565","2.05548561837186","1.9312052866642","1.89626044970517"
